ID,Bezirke
278,Mitte
279,Mitte
280,Mitte
281,Pankow
282,Friedrichshain-Kreuzberg
283,Charlottenburg-Wilmersdorf
284,Reinickendorf
285,Mitte
286,Mitte
287,Pankow
288,Mitte
289,Mitte
290,Mitte
291,Mitte
292,Mitte
293,Mitte
294,Mitte
295,Mitte
296,Mitte
297,Mitte
298,Mitte
299,Mitte
300,Mitte
301,Mitte
302,Mitte
303,Mitte
304,Mitte
305,Mitte
306,Mitte
307,Pankow
308,Charlottenburg-Wilmersdorf
309,Charlottenburg-Wilmersdorf
310,Charlottenburg-Wilmersdorf
311,Charlottenburg-Wilmersdorf
312,Charlottenburg-Wilmersdorf
313,Charlottenburg-Wilmersdorf
314,Mitte
315,Charlottenburg-Wilmersdorf
316,Lichtenberg
317,Charlottenburg-Wilmersdorf
318,Mitte
319,Steglitz-Zehlendorf
320,Mitte
321,Mitte
322,Mitte
323,Mitte
324,Mitte
325,Mitte
326,Mitte
327,Mitte
328,Mitte
329,Mitte
330,Mitte
331,Mitte
332,Mitte
333,Mitte
334,Pankow
335,Pankow
336,Mitte
337,Mitte
338,Mitte
339,Mitte
340,Charlottenburg-Wilmersdorf
341,Charlottenburg-Wilmersdorf
342,Charlottenburg-Wilmersdorf
343,Charlottenburg-Wilmersdorf
344,Charlottenburg-Wilmersdorf
345,Charlottenburg-Wilmersdorf
346,Charlottenburg-Wilmersdorf
347,Mitte
348,Friedrichshain-Kreuzberg
349,Mitte
350,Mitte
351,Mitte
352,Mitte
353,Steglitz-Zehlendorf
354,Charlottenburg-Wilmersdorf
355,Pankow
356,Mitte
357,Mitte
358,Spandau
359,Mitte
360,Mitte
361,Mitte
362,Mitte
363,Mitte
364,Mitte
365,Mitte
366,Mitte
367,Mitte
368,Neukölln
369,Friedrichshain-Kreuzberg
370,Mitte
371,Mitte
372,Mitte
373,Friedrichshain-Kreuzberg
374,Mitte
375,Tempelhof-Schöneberg
376,Mitte
377,Mitte
378,Pankow
379,Pankow
380,Mitte
381,Pankow
382,Pankow
383,Pankow
384,Friedrichshain-Kreuzberg
385,Pankow
386,Mitte
387,Charlottenburg-Wilmersdorf
388,Pankow
389,Mitte
390,Charlottenburg-Wilmersdorf
391,Mitte
392,Charlottenburg-Wilmersdorf
393,Mitte
394,Pankow
395,Mitte
396,Mitte
397,Mitte
398,Mitte
399,Mitte
400,Mitte
401,Friedrichshain-Kreuzberg
402,Mitte
403,Friedrichshain-Kreuzberg
404,Pankow
405,Mitte
406,Mitte
407,Mitte
408,Mitte
409,Mitte
410,Mitte
411,Mitte
412,Mitte
413,Mitte
414,Mitte
415,Mitte
416,Neukölln
417,Friedrichshain-Kreuzberg
418,Charlottenburg-Wilmersdorf
419,Charlottenburg-Wilmersdorf
420,Charlottenburg-Wilmersdorf
421,Charlottenburg-Wilmersdorf
