Kaltmiete,Wohnfläche,Baujahr
1590.00,96.00,2020
1595.00,120.12,1901
1599.00,56.00,2016
1599.00,101.00,1998
1600.00,88.50,2020
1627.00,93.00,2021
1640.00,101.00,1998
1650.00,81.20,2020
1652.53,69.00,2020
1670.00,92.17,2020
1674.00,90.00,2016
1690.00,101.00,1998
1690.00,78.00,1919
1700.00,121.00,2020
1718.00,75.00,2021
1720.00,106.00,2018
1720.00,99.83,2020
1734.00,51.00,2020
1735.00,51.00,2020
1735.00,51.00,2020
1735.00,145.32,2021
1740.00,80.00,2016
1750.00,100.00,1974
1750.00,100.00,1974
1750.00,80.00,1900
1760.00,88.47,2021
1769.00,102.79,2016
1800.00,75.00,2017
1800.00,84.00,2019
1800.00,98.00,2018
1800.00,140.92,2020
1840.68,65.37,2018
1854.00,71.09,2018
1854.00,71.09,2018
1854.00,71.09,2018
1854.00,71.09,2018
1854.00,71.09,2018
1854.00,71.09,2018
1854.00,71.09,2018
1854.00,71.09,2018
1854.00,65.37,2018
1854.00,71.09,2018
1854.00,65.37,2018
1854.00,65.37,2018
1854.00,65.37,2018
1854.00,65.37,2018
1854.00,65.37,2018
1854.00,117.23,2019
1875.00,123.08,2016
1900.00,70.00,2008
1900.00,79.90,2019
1920.00,79.90,2019
1920.00,79.90,2019
1920.00,79.90,2019
1920.00,79.90,2019
1920.00,79.90,2019
1920.00,73.00,2020
1949.00,90.00,2019
1956.00,65.37,2019
1980.00,165.76,2020
1989.12,79.99,2019
1999.75,85.00,2000
2000.00,131.22,2002
2000.00,116.08,2020
2060.00,67.32,2018
2060.00,67.32,2018
2060.00,67.32,2018
2060.00,67.32,2018
2060.00,67.32,2018
2060.00,67.32,2018
2060.00,67.32,2018
2060.00,123.30,1755
2096.10,83.96,2019
2099.00,93.00,2000
2100.00,91.00,2000
2100.00,77.06,2020
2100.00,83.27,2021
2113.00,77.00,1911
2117.50,77.00,1911
2117.50,213.00,1965
2130.00,115.60,2018
2138.60,107.33,2017
2150.00,71.09,2019
2170.00,91.20,2019
2184.00,91.20,2019
2184.00,91.20,2019
2184.00,91.20,2019
2184.00,91.20,2019
2184.00,91.20,2019
2184.00,108.00,1899
2200.00,93.00,2000
2200.00,91.00,2019
2200.00,137.84,1900
2205.44,114.74,2020
2214.00,150.30,2005
2222.94,121.00,2020
2239.00,137.28,2016
2239.04,138.41,2021
2254.50,91.20,2019
2280.00,205.00,1984
2337.00,95.00,2009
2350.00,112.27,2019
2357.67,125.89,2023
2360.00,118.00,2021
2360.80,131.98,2018
2376.72,107.00,2019
2400.00,68.00,2019
2441.63,144.61,1892
2458.41,106.00,2017
2498.00,106.34,2021
2499.00,139.00,2000
2500.00,89.00,2011
2500.00,139.00,2019
2500.00,139.63,2023
2528.00,181.36,1917
2528.16,143.64,2021
2586.00,118.00,2000
2600.00,154.52,1892
2626.84,100.00,2020
2671.00,132.00,2019
2680.00,130.00,1918
2705.89,141.32,2020
2759.00,139.00,2021
2799.00,152.00,2019
2800.00,122.00,2019
2800.00,103.01,1911
2833.00,103.01,1911
2833.00,144.17,2020
2864.67,142.00,2021
2950.00,164.00,2019
2950.00,143.00,1900
2950.00,143.52,2017
2977.94,122.00,1890
2998.56,169.75,2020
3000.42,139.00,2000
3100.00,143.54,2017
3150.00,128.00,1930
3231.90,141.26,2019
3248.87,210.60,1900
3264.00,160.00,2019
3360.00,176.00,2008
3432.00,182.27,1893
3459.00,182.00,2019
3459.52,270.00,1895
3500.00,110.41,2018
3553.00,110.41,2018
3553.00,110.41,2018
3553.00,185.00,1882
3800.00,209.00,2006
3850.00,168.74,2017
3920.00,98.13,2018
3998.00,202.00,2009
4000.00,167.60,2020
4022.40,163.00,2019
4200.00,165.00,1908
5000.00,123.00,2019
5100.00,131.92,2018
5277.00,131.92,2018
5277.00,131.92,2018
5277.00,131.92,2018
5277.00,131.92,2018
5277.00,131.92,2018
5277.00,131.92,2019
5277.00,204.04,1869
5509.00,237.12,2021
5915.38,270.70,2014
5980.00,352.00,2018
7299.00,462.00,2011
9200.00,420.00,1903
9200.00,248.20,2008
